Elaine Porter, Psy.D.
Marcus Klein, Ph.D.
Naomi Chen, Psy.D.
Victor Alvarez, Ph.D.
Samantha Brooks, Ph.D.
Jordan Wells, Psy.D.
Priya Desai, Ph.D.
Caleb Foster, Psy.D.
Isabelle Nguyen, Ph.D.
Theo Marshall, Psy.D.
Rachel Kim, Ph.D.
Alan Bishop, Psy.D.
Michelle Ortega, Ph.D.
Kevin Zhang, Psy.D.
Brenda Wallace, Ph.D.
Elijah Park, Psy.D.
Grace Thompson, Ph.D.
Derek Simmons, Psy.D.
Lydia Romero, Ph.D.
Samuel Carter, Psy.D.
Amanda Quinn, Ph.D.
Benjamin Snow, Psy.D.
Tasha Ivanova, Ph.D.
Connor Reed, Psy.D.
Farah Malik, Ph.D.
Nolan Hayes, Psy.D.
Jade Lin, Ph.D.
Wesley Grant, Psy.D.
Celeste Franco, Ph.D.
Omar Patel, Psy.D.
Natalie Rivers, Ph.D.
Henry Dalton, Psy.D.
Kiara Monroe, Ph.D.
Julian West, Psy.D.
Esther Levine, Ph.D.
Xavier Boone, Psy.D.
Alina Mercer, Ph.D.
Diego Torres, Psy.D.
Fiona Gallagher, Ph.D.
Shawn Daniels, Psy.D.
